country,"gni per capita, atlas method (current us$)","immunization, hepb3 (% of one-year-old children)",improved sanitation facilities (% of population with access),"improved sanitation facilities, rural (% of rural population with access)","improved sanitation facilities, urban (% of urban population with access)",improved water source (% of population with access),"improved water source, rural (% of rural population with access)",maternal leave benefits (% of wages paid in covered period),number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, rural (% of rural population)","people practicing open defecation, urban (% of urban population)",undernourished
guinea,470,51,20.1,11.8,34.1,76.8,67.4,100,98,15,23.7,0.4,16.5
guinea-bissau,590,80,20.8,8.5,33.5,79.3,60.3,100,60,17.3,32.7,1.6,28
guyana,4090,95,83.7,82,87.9,98.3,98.3,70,91,0.3,0.4,0,8.1
haiti,820,60,27.6,19.2,33.6,57.7,47.6,100,42,19,35,7.7,49.3
honduras,2270,85,82.6,77.7,86.7,91.2,83.8,100,84,4.8,10.5,0,12.9
hungary,12990,,98,98.6,97.8,100,100,70,168,0,0,0,2.5
iceland,49730,,98.8,100,98.7,100,100,49,90,0,0,0,2.5
india,1590,87,39.6,28.5,62.6,94.1,92.6,100,84,44.4,61.3,9.8,14.5
indonesia,3440,81,60.8,47.5,72.3,87.4,79.5,100,90,20.4,28.9,13.1,8.3
iran,6000,98,90,82.3,92.8,96.2,92.1,67,270,0,0,0,4.9
iraq,5550,56,85.6,83.8,86.4,86.6,70.1,100,72,0,0,0,29
ireland,46680,95,90.5,92.9,89.1,97.9,97.8,35,182,,,,2.5
israel,35440,97,100,100,100,100,100,100,98,0,0,0,2.5
italy,32790,93,99.5,99.6,99.5,100,100,80,150,0,0,0,2.5
jamaica,5010,91,81.8,84.1,79.9,93.8,89.4,100,56,0.8,1.1,0.5,8
japan,36680,,100,100,100,100,100,67,98,0,0,0,2.5
jordan,4680,99,98.6,98.9,98.6,96.9,92.3,100,70,0,0,0,12.2
kazakhstan,11580,98,97.5,98.1,97,92.9,85.6,100,126,0,0,0,2.5
kenya,1340,89,30.1,29.7,31.2,63.2,56.8,100,90,12,15.3,2.6,29.4
kiribati,3230,87,39.7,30.6,51.2,66.9,50.6,25,84,35.9,48.8,19.7,2.7
north korea,3000,96,81.9,72.5,87.9,99.7,99.4,,,0,0,0,47.8
south korea,27440,98,100,100,100,,,100,90,0,0,0,2.5
kuwait,40930,99,100,100,100,99,99,100,70,0,0,0,2.8
lao,1730,89,70.9,56,94.5,75.7,69.4,100,105,23.3,37.2,1,16.5
latvia,14900,94,87.8,81.5,90.8,99.3,98.3,80,112,0,0,0,2.5
lebanon,7930,81,80.7,80.7,80.7,99,99,100,70,0.2,0.2,0.2,11
lesotho,3000,93,30.3,27.6,37.3,81.8,77,100,84,32.5,43.4,3.6,13.1
liberia,380,52,16.9,5.9,28,75.6,62.6,100,90,47.8,68,27.3,37.2
lithuania,15000,94,92.4,82.8,97.2,96.6,90.4,100,126,,,,2.5
luxembourg,77000,99,97.6,98.5,97.5,100,100,100,112,0,0,0,2.5
north macedonia,5140,92,90.9,82.6,97.2,99.4,98.9,100,270,0.7,1.6,0,3.2
madagascar,420,69,12,8.7,18,51.5,35.3,100,98,39.8,51.7,17.9,44.4
malawi,350,88,41,39.8,47.3,90.2,89.1,100,56,4.2,4.7,1.3,17.5
malaysia,10570,99,96,95.9,96.1,98.2,93,100,60,0,0,0,2.5
maldives,6670,99,97.9,98.3,97.5,98.6,97.9,100,60,0,0,0,10.3
mali,790,68,24.7,16.1,37.5,77,64.1,100,98,9.5,14.5,2,6.3
malta,24560,95,100,100,100,100,100,82,126,0,0,0,2.5
mauritania,1750,73,40,13.8,57.5,57.9,57.1,100,98,34.6,69,11.6,10.4
mauritius,9610,97,93.1,92.6,93.9,99.9,99.8,100,84,0.1,0.2,0,6.5
mexico,9710,82,85.2,74.5,88,96.1,92.1,100,84,0.8,4,0,3.6
moldova,2220,88,76.4,67.1,87.8,88.4,81.4,100,126,0.1,0.2,0,
mongolia,3830,99,59.7,42.6,66.4,64.4,59.2,100,120,8.8,27.8,1.4,13.4
montenegro,7240,82,95.9,92.2,98,99.7,99.2,100,45,0.1,0.2,0,2.5
morocco,3040,99,76.7,65.5,84.1,85.4,65.3,67,98,9.1,22.8,0,3.4
mozambique,580,80,20.5,10.1,42.4,51.1,37,100,60,39.5,52,13.1,27.9
myanmar,1210,75,79.6,77.1,84.3,80.6,74.4,70,98,4.4,6.4,0.5,10.6
namibia,5210,92,34.4,16.8,54.5,91,84.6,100,84,48.5,73.2,20.3,27.3
nepal,730,91,45.8,43.5,56,91.6,91.8,100,52,31.6,37.5,5.6,8.7
netherlands,48940,94,97.7,99.9,97.5,100,100,100,112,0,0,0,2.5
new caledonia,13210,,100,100,100,98.5,98.5,,,0,0,0,7.1
new zealand,40080,92,,,,100,100,47,112,,,,2.5
nicaragua,1940,98,67.9,55.7,76.5,87,69.4,100,84,7.3,14.2,2.5,17
niger,390,65,10.9,4.6,37.9,58.2,48.6,100,98,72.8,86.3,14.3,16.5
nigeria,2820,56,29,25.4,32.8,68.5,57.3,50,84,25.1,33.8,15.5,13.4
norway,93820,,98.1,98.3,98,100,100,,,0,0,0,2.5
oman,16920,99,96.7,94.7,97.3,93.4,86.1,100,50,3.3,5.3,2.7,6.8
pakistan,1440,72,63.5,51.1,83.1,91.4,89.9,100,84,13.3,21.4,0.6,20.3
panama,12050,73,75,58,83.5,94.7,88.6,100,98,3.4,8.6,0.8,10
paraguay,4220,93,88.6,78.4,95.5,98,94.9,50,63,0,0,0,10.7
peru,6200,90,76.2,53.2,82.5,86.7,69.2,100,90,5.2,20,1.1,9.7
philippines,3540,60,73.9,70.8,77.9,91.8,90.3,100,60,7.3,10.4,3.4,13.3
poland,13370,96,97.2,96.7,97.5,98.3,96.9,100,182,0,0,0,2.5
portugal,20530,98,99.7,99.8,99.6,100,100,,,0,0,0,2.5
romania,9500,90,79.1,63.3,92.2,100,100,85,126,,,,2.5
russian federation,11400,97,72.2,58.7,77,96.9,91.2,100,140,1,0.9,1,2.5
rwanda,700,98,61.6,62.9,58.5,76.1,71.9,60,84,1.6,1.9,0.8,36.8
samoa,3930,59,91.5,91.1,93.3,99,99.3,100,28,0.1,0.1,0,2.7
sao tome and principe,,96,34.7,23.3,40.8,97.1,93.6,100,90,54.1,66.3,47.5,7
saudi arabia,23550,98,100,100,100,97,97,100,70,0,0,0,7.1
senegal,1000,89,47.6,33.8,65.4,78.5,67.3,100,98,13.6,23.6,0.6,11.3
serbia,5500,94,96.4,94.2,98.2,99.2,98.9,100,135,0.1,0.2,0,5.7
sierra leone,630,86,13.3,6.9,22.8,62.6,47.8,100,84,23.6,33.7,8.4,25.6
slovenia,22610,,99.1,99.1,99.1,99.5,99.4,100,105,0,0,0,2.5
solomon islands,1940,98,29.8,15,81.4,80.8,77.2,25,84,53.7,66.4,9.5,8.9
south africa,6050,71,66.4,60.5,69.6,93.2,81.4,38,120,3.7,7.9,1.5,6.2
spain,28520,97,99.9,100,99.8,100,100,100,112,0,0,0,2.5
sri lanka,3800,99,95.1,96.7,88.1,95.6,95,100,84,0.2,0,1,9
saint lucia,7390,99,90.5,91.9,84.7,96.3,95.6,65,91,2.4,1.4,6.7,
saint vincent and the grenadines,6670,98,,,,95.1,95.1,65,91,,,,5.7
sudan,1840,93,,,,,,100,56,,,,20.1
suriname,9300,89,79.2,61.4,88.4,94.8,88.4,,0,6.3,18.1,0.3,8.5
sweden,57810,53,99.3,99.6,99.3,100,100,,,0,0,0,2.5
switzerland,84180,,99.9,99.8,99.9,100,100,59,98,0,0,0,2.5
tajikistan,1240,96,95,95.5,93.8,73.8,66.7,100,140,0.1,0.1,0,
thailand,5620,99,93,96.1,89.9,97.8,98,100,90,0,0,0,7.8
timor-leste,1920,76,40.6,26.8,69,71.9,60.5,100,84,26.1,35.6,6.5,24.9
togo,540,88,11.6,2.9,24.7,63.1,44.2,100,98,51.7,74.2,18,16.1
trinidad and tobago,18600,90,91.5,91.5,91.5,95.1,95.1,61,98,0.2,0.2,0.2,5.5
tunisia,3970,98,91.6,79.8,97.4,97.7,93.2,67,30,0.7,2.1,0,4.3
turkey,9950,96,94.9,85.5,98.3,100,100,67,112,0.1,0.5,0,2.5
turkmenistan,7510,99,,,,,,,,,,,5.4
uganda,670,78,19.1,17.3,28.5,79,75.8,100,84,7.2,8.1,2.2,41
ukraine,2620,22,95.9,92.6,97.4,96.2,97.8,100,126,,,0,3.5
united arab emirates,43170,94,97.6,95.2,98,99.6,100,100,45,0,0,0,2.6
united kingdom,43340,,99.2,99.6,99.1,100,100,90,14,0,0,0,2.5
united states of america,54960,92,100,100,100,99.2,98.2,,,0,0,0,2.5
uruguay,15720,95,96.4,92.6,96.6,99.7,93.9,100,98,0.1,0,0.1,2.5
uzbekistan,2150,99,100,100,100,,,100,126,0,0,0,6.3
vanuatu,3000,64,57.9,55.4,65.1,94.5,92.9,66,84,1.9,2.2,1.3,7.2
venezuela,13080,87,94.4,69.9,97.5,93.1,77.9,100,182,5.4,28.6,2.5,21.2
vietnam,1980,97,78,69.7,94.4,97.6,96.9,100,180,0.7,1.1,0,9.3
yemen,1200,69,,,,,,100,70,,,,38.9
zambia,1500,90,43.9,35.7,55.6,65.4,51.3,100,84,13.7,22.3,1.3,46.7
zimbabwe,850,87,36.8,30.8,49.3,76.9,67.3,100,98,27.6,40.1,1.5,51.3
