"gni per capita, atlas method (current us$)","immunization, hepb3 (% of one-year-old children)",improved sanitation facilities (% of population with access),"improved sanitation facilities, rural (% of rural population with access)","improved sanitation facilities, urban (% of urban population with access)",improved water source (% of population with access),"improved water source, rural (% of rural population with access)",maternal leave benefits (% of wages paid in covered period),number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, rural (% of rural population)","people practicing open defecation, urban (% of urban population)",undernourished,country
730.0,91.0,45.8,43.5,56.0,91.6,91.8,100.0,52.0,31.6,37.5,5.6,8.7,nepal
48940.0,94.0,97.7,99.9,97.5,100.0,100.0,100.0,112.0,0.0,0.0,0.0,2.5,netherlands
,,100.0,100.0,100.0,98.5,98.5,,,0.0,0.0,0.0,7.1,new caledonia
40080.0,92.0,,,,100.0,100.0,47.0,112.0,,,,2.5,new zealand
1940.0,98.0,67.9,55.7,76.5,87.0,69.4,100.0,84.0,7.3,14.2,2.5,17.0,nicaragua
390.0,65.0,10.9,4.6,37.9,58.2,48.6,100.0,98.0,72.8,86.3,14.3,16.5,niger
2820.0,56.0,29.0,25.4,32.8,68.5,57.3,50.0,84.0,25.1,33.8,15.5,13.4,nigeria
93820.0,,98.1,98.3,98.0,100.0,100.0,,,0.0,0.0,0.0,2.5,norway
16920.0,99.0,96.7,94.7,97.3,93.4,86.1,100.0,50.0,3.3,5.3,2.7,6.8,oman
1440.0,72.0,63.5,51.1,83.1,91.4,89.9,100.0,84.0,13.3,21.4,0.6,20.3,pakistan
12050.0,73.0,75.0,58.0,83.5,94.7,88.6,100.0,98.0,3.4,8.6,0.8,10.0,panama
4220.0,93.0,88.6,78.4,95.5,98.0,94.9,50.0,63.0,0.0,0.0,0.0,10.7,paraguay
6200.0,90.0,76.2,53.2,82.5,86.7,69.2,100.0,90.0,5.2,20.0,1.1,9.7,peru
3540.0,60.0,73.9,70.8,77.9,91.8,90.3,100.0,60.0,7.3,10.4,3.4,13.3,philippines
13370.0,96.0,97.2,96.7,97.5,98.3,96.9,100.0,182.0,0.0,0.0,0.0,2.5,poland
20530.0,98.0,99.7,99.8,99.6,100.0,100.0,,,0.0,0.0,0.0,2.5,portugal
9500.0,90.0,79.1,63.3,92.2,100.0,100.0,85.0,126.0,,,,2.5,romania
11400.0,97.0,72.2,58.7,77.0,96.9,91.2,100.0,140.0,1.0,0.9,1.0,2.5,russian federation
700.0,98.0,61.6,62.9,58.5,76.1,71.9,60.0,84.0,1.6,1.9,0.8,36.8,rwanda
3930.0,59.0,91.5,91.1,93.3,99.0,99.3,100.0,28.0,0.1,0.1,0.0,2.7,samoa
,96.0,34.7,23.3,40.8,97.1,93.6,100.0,90.0,54.1,66.3,47.5,7.0,sao tome and principe
23550.0,98.0,100.0,100.0,100.0,97.0,97.0,100.0,70.0,0.0,0.0,0.0,7.1,saudi arabia
1000.0,89.0,47.6,33.8,65.4,78.5,67.3,100.0,98.0,13.6,23.6,0.6,11.3,senegal
5500.0,94.0,96.4,94.2,98.2,99.2,98.9,100.0,135.0,0.1,0.2,0.0,5.7,serbia
630.0,86.0,13.3,6.9,22.8,62.6,47.8,100.0,84.0,23.6,33.7,8.4,25.6,sierra leone
22610.0,,99.1,99.1,99.1,99.5,99.4,100.0,105.0,0.0,0.0,0.0,2.5,slovenia
1940.0,98.0,29.8,15.0,81.4,80.8,77.2,25.0,84.0,53.7,66.4,9.5,8.9,solomon islands
6050.0,71.0,66.4,60.5,69.6,93.2,81.4,38.0,120.0,3.7,7.9,1.5,6.2,south africa
28520.0,97.0,99.9,100.0,99.8,100.0,100.0,100.0,112.0,0.0,0.0,0.0,2.5,spain
3800.0,99.0,95.1,96.7,88.1,95.6,95.0,100.0,84.0,0.2,0.0,1.0,9.0,sri lanka
7390.0,99.0,90.5,91.9,84.7,96.3,95.6,65.0,91.0,2.4,1.4,6.7,,saint lucia
6670.0,98.0,,,,95.1,95.1,65.0,91.0,,,,5.7,saint vincent and the grenadines
1840.0,93.0,,,,,,100.0,56.0,,,,20.1,sudan
9300.0,89.0,79.2,61.4,88.4,94.8,88.4,,0.0,6.3,18.1,0.3,8.5,suriname
57810.0,53.0,99.3,99.6,99.3,100.0,100.0,,,0.0,0.0,0.0,2.5,sweden
84180.0,,99.9,99.8,99.9,100.0,100.0,59.0,98.0,0.0,0.0,0.0,2.5,switzerland
1240.0,96.0,95.0,95.5,93.8,73.8,66.7,100.0,140.0,0.1,0.1,0.0,,tajikistan
5620.0,99.0,93.0,96.1,89.9,97.8,98.0,100.0,90.0,0.0,0.0,0.0,7.8,thailand
1920.0,76.0,40.6,26.8,69.0,71.9,60.5,100.0,84.0,26.1,35.6,6.5,24.9,timor-leste
540.0,88.0,11.6,2.9,24.7,63.1,44.2,100.0,98.0,51.7,74.2,18.0,16.1,togo
18600.0,90.0,91.5,91.5,91.5,95.1,95.1,61.0,98.0,0.2,0.2,0.2,5.5,trinidad and tobago
3970.0,98.0,91.6,79.8,97.4,97.7,93.2,67.0,30.0,0.7,2.1,0.0,4.3,tunisia
9950.0,96.0,94.9,85.5,98.3,100.0,100.0,67.0,112.0,0.1,0.5,0.0,2.5,turkey
7510.0,99.0,,,,,,,,,,,5.4,turkmenistan
670.0,78.0,19.1,17.3,28.5,79.0,75.8,100.0,84.0,7.2,8.1,2.2,41.0,uganda
2620.0,22.0,95.9,92.6,97.4,96.2,97.8,100.0,126.0,,,0.0,3.5,ukraine
43170.0,94.0,97.6,95.2,98.0,99.6,100.0,100.0,45.0,0.0,0.0,0.0,2.6,united arab emirates
43340.0,,99.2,99.6,99.1,100.0,100.0,90.0,14.0,0.0,0.0,0.0,2.5,united kingdom
54960.0,92.0,100.0,100.0,100.0,99.2,98.2,,,0.0,0.0,0.0,2.5,united states of america
15720.0,95.0,96.4,92.6,96.6,99.7,93.9,100.0,98.0,0.1,0.0,0.1,2.5,uruguay
2150.0,99.0,100.0,100.0,100.0,,,100.0,126.0,0.0,0.0,0.0,6.3,uzbekistan
,64.0,57.9,55.4,65.1,94.5,92.9,66.0,84.0,1.9,2.2,1.3,7.2,vanuatu
,87.0,94.4,69.9,97.5,93.1,77.9,100.0,182.0,5.4,28.6,2.5,21.2,venezuela
1980.0,97.0,78.0,69.7,94.4,97.6,96.9,100.0,180.0,0.7,1.1,0.0,9.3,vietnam
,69.0,,,,,,100.0,70.0,,,,38.9,yemen
1500.0,90.0,43.9,35.7,55.6,65.4,51.3,100.0,84.0,13.7,22.3,1.3,46.7,zambia
850.0,87.0,36.8,30.8,49.3,76.9,67.3,100.0,98.0,27.6,40.1,1.5,51.3,zimbabwe
