covid_fatality_rate,continent,country,age_dependency_ratio,diabetes_prevalence,gni_per_capita_atlas_method,Good_maternal_and_infant_practices,Bad_hygiene_practices,rural_populations,fat_animal_products,good_fat_sources,fat_cereals__excluding_beer,obesity,undernourished,unhealthy_kcals,healthy_kcals,protein_alcoholic_beverages,protein_animal_fats,protein_milk__excluding_butter,protein_oilcrops,protein_stimulants,protein_sugar__sweeteners,protein_vegetable_oils,gni_real,comparative_fatality_rate,population_ages_0014,population_ages_65_and_above,fat_cereals_excluding_beer,fat_eggs,fat_fish_seafood,fat_fruits_excluding_wine,fat_meat,fat_miscellaneous,fat_milk_excluding_butter,fat_offals,fat_oilcrops,fat_pulses,fat_spices,fat_starchy_roots,fat_stimulants,fat_treenuts,fat_vegetable_oils,fat_vegetables,improved_water_source_of_population_with_access
21.28711589,africa,djibouti,58.53386781,8.4,13410.2027,73.72450313,11.85,22.657,11.1065,33.0452,4.3977,12.2,18.9,11.5112,36.2874,0.0225,0.0225,3.4863,0.2549,0.1949,0,0.0075,high_gni,low_fatality_rate,32.73541692,4.186578755,4.3977,0.2494,0.291,0.1247,5.121,0.1413,3.8573,0.1912,0.4323,0.557,0.3159,0.0333,0.5653,0.4157,31.449,0.4572,90
64.66703357,north america,dominica,58.85688141,12.6,6760,810.3823208,6.109423019,30.461,26.925,19.0566,1.4913,28.2,6.2,24.0998,22.2486,0.038,0.0634,8.3434,0.7095,0.6018,0,0.0127,mid_gni,low_fatality_rate,27.71630421,8.646010834,1.4913,0.3619,1.6536,1.1856,13.7339,0.1123,7.232,0.1373,4.8172,0.1373,0.468,0.4867,1.7846,0.0312,12.3237,0.2309,89.77070064
40.33854746,north america,dominican republic,57.75732496,8.8,6130,131.4869546,2.4,21.02,15.2779,29.2389,1.4528,26.9,9.5,19.4518,30.1204,0.4784,0.0224,7.1386,0.7774,0.4111,0,0,mid_gni,low_fatality_rate,29.95884176,6.652659461,1.4528,1.1248,0.2484,3.6133,7.3718,0.0422,4.1194,0.1875,2.9103,0.1921,0.0609,0.0797,0.2906,0.0703,25.8881,0.1218,84.7
208.6239017,south america,ecuador,55.57777234,9.2,6010,174.6429935,1.95,36.258,20.9283,24.825,3.6672,19.3,7.9,18.2801,33.9324,0,0.0988,7.3579,0.6385,0.0532,0,0.0152,mid_gni,high_fatality_rate,29.01927441,6.704191426,3.6672,1.0246,0.2519,0.4367,8.7453,0.028,6.0803,0.1008,0.8566,0.0616,0.0392,0.084,0.1848,0.0784,23.5541,0.084,86.9
23.77057747,africa,egypt,62.28639809,16.7,3340,232.6057473,0,56.865,15.9979,20.3539,13.4988,31.1,4.5,9.9352,39.0486,0.0052,0.0467,2.0919,0.5969,0.2024,0,0.0052,low_gni,low_fatality_rate,33.16028013,5.220261196,13.4988,0.8448,1.32,0.7216,6.4678,0.0088,3.6343,0.2992,4.4615,0.1584,0.2376,0.1936,0.0792,0.2992,13.6132,0.66,99.4
62.41652157,north america,el salvador,54.32195105,9.2,3940,251.1279383,1.85,33.274,23.3032,16.337,8.1958,22.7,9,18.3765,28.166,0.1203,0.0468,7.0364,1.3699,0.294,0,0.0267,low_gni,low_fatality_rate,27.02860632,8.171798211,8.1958,1.6034,0.4514,1.4321,6.6547,0.1012,8.1491,0.0545,5.0669,0.5837,0.0311,0.1401,0.3269,0.1167,10.2506,0.4514,93.8
147.256322,europe,estonia,53.48614119,4.4,18480,1600.57895,0,32.462,33.219,10.6299,2.8982,23.8,2.9,28.3094,21.7754,0.5907,0.2233,15.424,0.1861,0.7535,0.0047,0.0233,high_gni,high_fatality_rate,16.0878224,18.75970433,2.8982,1.583,0.2818,0.3805,10.4279,0.0188,14.275,0.1174,0.3664,0.0658,0.1926,0.0892,2.7855,1.2495,8.4457,0.2865,99.6
6.98,africa,ethiopia,81.56767847,3.4,590,51.7389878,17.2,80.528,11.1691,21.033,11.3929,3.6,20.6,5.0129,33.9192,0.1676,0.0076,2.1938,0.8074,0.3047,0,0,low_gni,low_fatality_rate,41.44022759,3.483890604,11.3929,0.2238,0.0559,0.4102,4.1768,0,5.1091,0.1678,2.6851,2.5545,2.6851,0.8018,0.0186,0.7459,17.4156,0.1305,57.3
78.23840295,oceania,fiji,52.84830729,13.8,4800,329.7953196,0,46.272,20.0472,28.5698,1.5114,30,3.7,18.6958,25.83,0.2232,0.2435,2.7323,1.8734,0.3382,0,0.0203,mid_gni,high_fatality_rate,28.74465474,5.831002808,1.5114,0.5773,1.4694,0.084,8.423,0.0262,1.7948,0.0945,8.9635,0.2991,0.1312,0.3569,0.4408,0.1469,17.8168,0.1732,95.7
31.26588718,europe,finland,58.26668653,6,46360,5439.976152,0,15.779,36.725,11.1206,1.7872,24.9,2.5,34.1924,21.2166,0.4797,0.2505,14.3706,0.3524,1.0826,0.0042,0.0594,high_gni,low_fatality_rate,16.33833062,20.4771837,1.7872,0.8524,0.9384,0.2901,16.6649,0.1146,11.8155,0.0788,0.6017,0.0179,0.043,0.0537,0.7844,0.5157,8.8607,0.2041,100
186.696625,europe,france,60.26679873,5.3,40580,1544.129126,0,20.48,30.2594,18.0566,1.4334,23.2,2.5,30.6914,23.4964,0.1784,0.2677,11.1617,0.4104,0.7361,0.0045,0.0134,high_gni,high_fatality_rate,18.48353324,19.12051096,1.4334,0.9894,0.8752,0.3869,11.0864,0.0159,7.9533,0.1554,0.685,0.0254,0.0285,0.0412,0.6279,0.853,15.4658,0.1776,100
16.69282649,africa,gabon,73.10581547,7.8,9210,55.56848917,1.65,12.844,19.2656,26.5825,4.1074,13.4,10.5,16.4366,27.804,0.6967,0.0188,1.7071,3.3264,0.1004,0,0.0126,mid_gni,low_fatality_rate,37.12693272,5.104932962,4.1074,0.1956,2.0359,0.6401,13.4068,0.1422,2.2937,0.5957,8.9438,0.0089,0,0.5779,0.7112,0.0178,15.3805,0.2045,93.2
17.22818149,africa,gambia,94.16772402,2,13410.2027,44.00270891,0.95,40.368,6.0418,40.123,4.9416,8.7,10.2,10.313,35.7409,0.2116,0.0078,3.3702,8.0649,0.4232,0,0.0157,high_gni,low_fatality_rate,46.18428428,2.313850252,4.9416,0.2113,1.3488,0.0373,1.3488,0.0622,2.8468,0.0311,12.4751,0.0311,0,0.0124,0.0995,0.2362,25.9883,0.0746,90.2
375.1019299,europe,georgia,45.673028,6.4,4160,402.6669256,0.55,46.359,25.2749,17.3282,4.5695,23.3,7.9,19.0733,30.4825,0.1495,0.169,8.2299,0.299,0.6436,0.0065,0.026,low_gni,high_fatality_rate,17.32746439,14.02565921,4.5695,1.1781,0.4284,0.2071,7.2326,0.1071,9.0818,0.1,0.6854,0,0.0714,0.0928,2.7774,1.1566,14.8579,0.1999,100
137.7062635,europe,germany,51.80605869,7.4,45790,2950.77713,0,24.699,28.1419,20.299,1.1778,25.7,2.5,30.2165,21.766,0.6525,0.3023,12.0526,0.7821,0.6669,0.0048,0.0288,high_gni,high_fatality_rate,12.88582413,21.24065194,1.1778,1.0462,0.7019,0.2632,8.9127,0,6.4289,0.0472,0.8909,0.0101,0.0844,0.0607,0.6614,1.6739,16.8163,0.216,100
4.72,africa,ghana,73.04414373,2.3,1480,54.5362198,12.95,45.958,7.6875,34.4699,5.6789,9.7,5.5,5.2415,23.3065,0.1509,0.0079,0.5878,2.5576,0.0159,0,0.0159,low_gni,low_fatality_rate,38.81713803,3.394139481,5.6789,0.3472,2.7774,1.2151,3.1618,0.0496,0.4216,0.1736,10.9113,0.3968,1.2771,2.0087,0,0.0868,20.4464,0.248,88.7
192.0779265,europe,greece,56.24728159,5.2,20290,5950.901056,0,21.993,17.9063,29.8648,1.328,27.4,2.5,20.9271,28.9014,0.2376,0.0998,11.0689,0.6036,0.6273,0.0095,0.0285,high_gni,high_fatality_rate,14.60232704,21.39655818,1.328,0.7749,0.3245,0.2484,6.6267,0.0298,8.3355,0.1424,1.8413,0.0795,0.0497,0.0431,0.7749,1.881,25.5332,0.2848,100
187.2220922,north america,grenada,50.69971504,11.4,8430,399.7166169,1.35,64.409,23.0842,21.7353,1.4883,20.2,11.22675159,27.9292,23.975,0.1204,0.0567,6.5812,0.5809,0.1204,0,0.0283,mid_gni,high_fatality_rate,26.48350105,7.159372806,1.4883,1.444,1.2856,2.8436,12.9576,0.1267,4.8195,0.0823,3.3186,0.19,0.8803,0.0697,0.874,0.1393,16.8841,0.1077,96.6
98.55657782,north america,guatemala,70.85067193,11.1,3590,113.6515809,3.6,48.429,15.4397,22.9332,9.3956,18.8,15.2,18.0926,29.8469,0.0787,0.0358,2.9408,1.431,0.4865,0,0.0143,low_gni,high_fatality_rate,36.62282152,4.846533635,9.3956,2.6186,0.1482,1.2516,7.0735,0.0247,3.7385,0.0988,3.7879,0.5764,0.1235,0.0247,0.3788,0.9305,17.8113,0.2553,92.8
3.1,africa,guinea,83.80803921,2.2,470,48.36552816,7.7,62.839,6.0747,38.5701,4.7086,6.6,16.5,5.7602,36.0464,0.0404,0.0162,1.4797,3.5417,0.2183,0,0.0081,low_gni,low_fatality_rate,42.53199604,3.063419462,4.7086,0.3125,0.5014,0.3415,2.8993,0.0363,1.4896,0.1163,6.6633,0.1744,0,0.3343,0.2616,0.0073,30.6133,0.7848,76.8
8.08,africa,guinea-bissau,78.44823833,2.2,590,50.23050486,9.45,50.668,10.8323,35.5067,2.8828,8.2,28,7.8357,38.3797,0.1925,0.034,2.1857,1.2684,0.0793,0,0.0113,low_gni,low_fatality_rate,40.79291882,3.168422051,2.8828,0.1509,0.0715,0.2938,8.0527,0.0556,1.8027,0.1271,1.7154,0.0794,0,0.1985,0.2224,3.3116,30.3288,0.0794,79.3
137.4032865,south america,guyana,51.0881276,11.2,4090,68.14673642,0.15,71.447,22.7418,21.6184,2.9072,19.2,8.1,18.8214,29.4454,0.1537,0.0114,8.5249,2.0885,0.2959,0,0.0285,low_gni,high_fatality_rate,28.80697706,5.006485592,2.9072,0.334,1.169,1.503,12.555,0.0911,7.6287,0.0531,9.3518,0.3871,0.8653,0.129,0.9261,0.8805,9.0633,1.1538,98.3
7.15,north america,haiti,62.26450509,6.9,820,60.82654866,13.35,41.355,12.1462,28.9614,5.7517,20.5,49.3,11.9658,29.6604,0,0.03,1.6922,1.3117,0.8511,0.01,0.01,low_gni,low_fatality_rate,33.74137236,4.630855171,5.7517,0.1353,0.3722,1.6804,7.8944,0.0564,1.8608,0.1353,3.3157,0.8458,0,0.5526,0.3609,0,25.1494,0.1241,57.7
129.2002784,north america,honduras,57.76867708,9.2,2270,104.4342292,2.4,45.27,16.7113,23.805,8.3159,19.4,12.9,18.8834,30.8325,0.1091,0.0156,6.1253,0.2182,0.6858,0,0.0156,low_gni,high_fatality_rate,31.76279805,4.853264248,8.3159,0.7448,0.1302,0.376,7.8603,0.0651,5.2281,0.0868,0.5857,0.4194,0.0289,0.0217,0.3833,0.1012,22.8722,0.1157,91.2
