country,covid_confirmed_cases,covid_deaths,covid_fatality_rate
Uganda,140737,3294,2.340535893
Ukraine,3847226,102088,2.653548297
United Arab Emirates,761937,2164,0.284012983
United Kingdom,13010853,149096,1.145935628
Uruguay,413383,6170,1.492562587
United States of America,54835435,825926,1.506190295
Uzbekistan,198903,1485,0.746595074
Vanuatu,7,1,14.28571429
Venezuela,444635,5328,1.198286235
Vietnam,1731257,32394,1.871126008
West Bank and Gaza,469748,4919,1.047157199
Winter Olympics 2022,0,0,#DIV/0!
Yemen,10126,1984,19.5931266
Zambia,254274,3734,1.468494616
Zimbabwe,213258,5004,2.346453591
New Caledonia,63515,313,0.492796977
French Polynesia,732268,649,0.088628753
