continent,country,covid_confirmed_cases,covid_deaths,covid_fatality_rate,age dependency ratio (% of working-age population),"age dependency ratio, old","age dependency ratio, young","age population, age 0, female, interpolated",diabetes prevalence (% of population ages 20 to 79),"gni per capita, atlas method (current us$)","immunization, dpt (% of children ages 12-23 months)","immunization, hepb3 (% of one-year-old children)","immunization, hib3 (% of children ages 12-23 months)","immunization, measles (% of children ages 12-23 months)","immunization, pol3 (% of one-year-old children)",Immunization_average,improved sanitation facilities (% of population with access),"improved sanitation facilities, rural (% of rural population with access)","improved sanitation facilities, urban (% of urban population with access)",improved water source (% of population with access),"improved water source, rural (% of rural population with access)","improved water source, urban (% of urban population with access)",lifetime risk of maternal death (%),lifetime risk of maternal death (1 in: rate varies by country),maternal leave benefits (% of wages paid in covered period),"maternal mortality ratio (modeled estimate, per 100,000 live births)",number of under-five deaths,number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, rural (% of rural population)","people practicing open defecation, urban (% of urban population)","population ages 00-04, female (% of female population)","population ages 00-04, male (% of male population)",population ages 00-14 (% of total),"population ages 00-14, female (% of total)","population ages 00-14, male (% of total)","population ages 00-14, total","population ages 0-14, female","population ages 0-14, male","population ages 05-09, female (% of female population)","population ages 05-09, male (% of male population)","population ages 10-14, female (% of female population)","population ages 15-19, female (% of female population)","population ages 15-19, male (% of male population)",population ages 15-64 (% of total),"population ages 15-64, female","population ages 15-64, female (% of total)","population ages 15-64, male","population ages 15-64, male (% of total)","population ages 15-64, total","population ages 20-24, female (% of female population)","population ages 20-24, male (% of male population)","population ages 25-29, female (% of female population)","population ages 25-29, male (% of male population)","population ages 30-34, female (% of female population)","population ages 30-34, male (% of male population)","population ages 35-39, female (% of female population)","population ages 35-39, male (% of male population)","population ages 40-44, female (% of female population)","population ages 40-44, male (% of male population)","population ages 45-49, female (% of female population)","population ages 45-49, male (% of male population)","population ages 50-54, female (% of female population)","population ages 50-54, male (% of male population)","population ages 55-59, female (% of female population)","population ages 55-59, male (% of male population)","population ages 60-64, female (% of female population)","population ages 60-64, male (% of male population)",population ages 65 and above (% of total),"population ages 65 and above, female","population ages 65 and above, female (% of total)","population ages 65 and above, male","population ages 65 and above, male (% of total)","population ages 65 and above, total","population ages 65-69, female (% of female population)","population ages 65-69, male (% of male population)","population ages 70-74, female (% of female population)","population ages 70-74, male (% of male population)","population ages 75-79, female (% of female population)","population ages 75-79, male (% of male population)","population ages 80 and older, female (% of female population)","population ages 80 and older, male (% of male population)","population ages10-14, male (% of male population)",population growth (annual %),"population, total",rural population (% of total population),rural population growth (annual %),urban population (% of total),urban population growth (annual %),fat_animal products,fat_animal fats,fat_cereals - excluding beer,fat_eggs,"fat_fish, seafood",fat_fruits - excluding wine,fat_meat,fat_miscellaneous,fat_milk - excluding butter,fat_offals,fat_oilcrops,fat_pulses,fat_spices,fat_starchy roots,fat_stimulants,fat_treenuts,fat_vegetal products,fat_vegetable oils,fat_vegetables,obesity,undernourished,population,kcal_alcoholic beverages,kcal_animal products,kcal_animal fats,kcal_cereals - excluding beer,kcal_eggs,"kcal_fish, seafood",kcal_fruits - excluding wine,kcal_meat,kcal_milk - excluding butter,kcal_miscellaneous,kcal_offals,kcal_oilcrops,kcal_pulses,kcal_spices,kcal_starchy roots,kcal_stimulants,kcal_sugar & sweeteners,kcal_treenuts,kcal_vegetal products,kcal_vegetable oils,kcal_vegetables,protein_alcoholic beverages,protein_animal products,protein_animal fats,protein_cereals - excluding beer,protein_eggs,"protein_fish, seafood",protein_fruits - excluding wine,protein_meat,protein_milk - excluding butter,protein_offals,protein_oilcrops,protein_pulses,protein_spices,protein_starchy roots,protein_stimulants,protein_sugar & sweeteners,protein_treenuts,protein_vegetal products,protein_vegetable oils,protein_vegetables,protein_miscellaneous,gni_category
europe,denmark,810772,3282,0.000578224,55.86142944,29.55045409,26.31097535,25316,7.2,58590,93,87.34868421,93,91,93,91.46973684,99.6,99.6,99.6,100,100,100,0.010535361,9500,50,6,187,126,0,0,0,5.029084266,5.369254164,16.8810077,16.3497425,17.42005573,958166,467380,490786,5.665232534,6.064261039,5.655425701,6.108676526,6.53349818,64.15955249,1807881,63.24272753,1833817,65.08980859,3641697,6.623745426,6.96396391,5.911734296,6.233241848,5.426856434,5.56854846,6.248774146,6.339392359,6.628648843,6.726360189,7.441215039,7.726563108,6.820827753,6.984646734,6.251085757,6.301829222,5.781163315,5.711764583,18.95943981,583377,20.40752997,492761,17.49013568,1076138,6.72062293,6.619889841,4.950174281,4.638638715,3.577672922,3.067490331,5.159059833,3.164116792,5.986540527,0.574710113,5676002,12.324,-0.82743462,87.676,0.77338505,35.4131,14.2498,1.4741,1.7484,1.1313,0.5257,9.2408,0,8.8142,0.2285,0.7161,0.0152,0.1752,0.0533,1.6874,1.1846,14.585,8.4752,0.2819,21.3,2.5,5829000,2.4239,17.7505,5.0547,13.3757,0.9607,0.9459,1.5814,5.0103,5.439,0,0.3252,0.3104,0.1035,0.1921,1.6553,0.8868,7.1386,0.5025,32.2643,2.9116,1.1676,0.3937,32.3912,0.4246,12.04,2.3133,3.7288,0.5485,12.5265,12.009,1.3889,0.3185,0.1902,0.1902,0.9731,0.9245,0.0044,0.4423,17.6088,0.0575,1.526,0,high_gni
africa,djibouti,13656,189,0.000212871,58.53386781,6.637145229,51.89672258,10400,8.4,13410.2027,84,84,84,74,84,82,47.4,5.1,59.8,90,64.7,97.4,0.6980125,140,100,229,1429,98,20,75.6,3.7,11.38208991,11.60568094,32.73541692,32.44905762,33.01932075,290645,143431,147214,10.72668822,10.90498428,10.34027949,9.894371056,10.05849606,63.07800433,278663,63.0432176,281382,63.11249277,560045,10.07038159,10.18589545,9.687592615,9.722502591,7.379320798,7.35238044,6.893595072,6.844577227,5.471031788,5.377241265,4.59437264,4.647834883,3.858431425,4.038426169,2.975437707,2.937587755,2.218682907,1.947550926,4.186578755,19925,4.507724781,17246,3.868186488,37171,1.846300725,1.656416399,1.273700904,1.108015844,0.78661777,0.654043361,0.601105382,0.449710884,10.50865553,1.325049786,887861,22.657,0.968570487,77.343,1.42971882,11.1065,1.3966,4.3977,0.2494,0.291,0.1247,5.121,0.1413,3.8573,0.1912,0.4323,0.557,0.3159,0.0333,0.5653,0.4157,38.8977,31.449,0.4572,12.2,18.9,988000,0.1306,3.7127,0.2799,27.8918,0.0746,0.1493,0.7836,1.4925,1.5858,0.2799,0.1306,0.1119,2.3881,0.2052,0.5597,0.2052,6.1754,0.0933,46.2873,6.25,1.2127,0.0225,9.6191,0.0225,29.5547,0.2399,0.8097,0.3674,4.3035,3.4863,0.7647,0.2549,6.2828,0.2699,0.5248,0.1949,0,0.105,40.3809,0.0075,2.4142,0.3749,high_gni
north america,dominica,6814,47,0.00064667,58.85688141,13.27426371,45.5826177,391345.9012,12.6,6760,98,98,98,96,98,97.6,73.56153846,67.43333333,79.48525641,89.77070064,84.74076433,95.7,0.709157384,3161.220126,60,159.509434,23,84,9.441721854,14.75231788,2.777124183,9.727203194,10.13688218,27.71630421,27.2028991,28.34101972,11392290.67,5498177.284,5894113.988,9.041912184,9.419585637,8.433783716,8.193980104,8.540215449,63.63768098,14304089.17,63.10885005,14693402.72,64.10467545,28997491.87,8.175233632,8.450050264,7.903350313,8.188248006,7.325066375,7.551445038,6.531372392,6.663688608,5.983206066,6.109778549,5.515705768,5.577336888,5.161492203,5.125124529,4.506125391,4.343545014,3.813317802,3.555243105,8.646010834,2027144.302,9.688259089,1647045.16,7.55430483,3674187.654,3.031029035,2.727380075,2.335386235,1.945550064,1.908145856,1.446364084,2.413697963,1.435010606,8.784551901,0.467519349,72680,30.461,-0.459667326,69.539,0.876387998,26.925,3.8063,1.4913,0.3619,1.6536,1.1856,13.7339,0.1123,7.232,0.1373,4.8172,0.1373,0.468,0.4867,1.7846,0.0312,23.0812,12.3237,0.2309,28.2,6.2,72000,1.4266,10.9375,0.9341,11.3791,0.1529,1.036,5.8254,4.7724,3.9062,0.2548,0.1359,1.4266,0.7133,0.4755,5.9783,0.5944,6.9633,0.017,39.0625,2.9721,1.036,0.038,27.2601,0.0634,11.2385,0.4245,5.4165,2.9142,12.2648,8.3434,0.7475,0.7095,1.7738,0.4371,3.2626,0.6018,0,0.0063,22.7431,0.0127,1.4634,0.2787,mid_gni
north america,dominican republic,418778,4247,0.000403385,57.75732496,10.49505761,47.26226736,103699,8.8,6130,85,81,76,90,87,83.8,84,75.7,86.2,84.7,81.9,85.4,0.2478182,400,100,92,6710,84,2.8,5.9,2,9.847393868,10.33253274,29.95884176,29.30686704,30.61531423,3154184,1548074,1606110,9.836622026,10.28766131,9.622851145,9.130299713,9.384514211,63.38849877,3365180,63.70682721,3308609,63.0679743,6673789,8.889892662,9.029698252,8.227074199,8.207639961,7.544908071,7.370599112,6.657963372,6.451554488,5.997757412,5.823030442,5.385504131,5.239892492,4.768215155,4.654200263,3.99190427,3.896494539,3.113308222,3.010350546,6.652659461,369037,6.986305753,331381,6.316711462,700418,2.295670572,2.17077448,1.673743457,1.55067574,1.313009829,1.176054593,1.703881895,1.419206649,9.995120185,1.169842771,10528391,21.02,-3.109305847,78.98,2.340250611,15.2779,2.2261,1.4528,1.1248,0.2484,3.6133,7.3718,0.0422,4.1194,0.1875,2.9103,0.1921,0.0609,0.0797,0.2906,0.0703,34.7221,25.8881,0.1218,26.9,9.5,10500000,1.589,8.6782,0.7508,13.3054,0.6286,0.2968,7.421,3.7716,2.9859,0.1921,0.2445,1.1524,1.5017,0.0524,1.3794,0.1746,5.413,0.0349,41.3305,8.521,0.5762,0.4784,25.6914,0.0224,13.1111,2.0631,2.0182,3.5207,12.9167,7.1386,1.5324,0.7774,3.7823,0.0747,0.8073,0.4111,0,0.0374,24.3086,0,0.9643,0.3438,mid_gni
south america,ecuador,549418,33681,0.002086239,55.57777234,10.43023167,45.14754067,157292,9.2,6010,78,78,78,84,84,80.4,84.7,80.7,87,86.9,75.5,93.4,0.171974068,580,100,64,7079,84,3.9,10.8,0,9.741977846,10.20725396,29.01927441,28.38523632,29.65348807,4684977,2291625,2393352,9.497220405,9.927402385,9.146038069,9.122231197,9.444467297,64.27653417,5199277,64.40089733,5177760,64.15213657,10377037,8.814822788,9.050157451,8.342104015,8.46237869,7.551956146,7.560205197,6.829834991,6.758638018,6.209233673,6.089321061,5.496105124,5.339432323,4.70476815,4.525623883,4.00307235,3.806115278,3.326768896,3.115797372,6.704191426,582397,7.213866351,499952,6.194375364,1082349,2.340443479,2.152293675,1.882861021,1.671762236,1.342871111,1.133828204,1.64769074,1.236491248,9.518831718,1.506845985,16144363,36.258,0.885465301,63.742,1.862032896,20.9283,4.7198,3.6672,1.0246,0.2519,0.4367,8.7453,0.028,6.0803,0.1008,0.8566,0.0616,0.0392,0.084,0.1848,0.0784,29.0745,23.5541,0.084,19.3,7.9,17511000,0.9275,9.7391,1.4879,23.4396,0.5411,0.2512,2.5894,3.9227,3.4203,0.0966,0.1353,0.3671,0.3285,0.0386,1.0242,0.0773,3.6908,0.0386,40.2319,7.1884,0.4638,0,22.7577,0.0988,22.6665,1.6038,1.6494,1.1022,11.09,7.3579,0.9425,0.6385,0.8893,0.0532,0.8665,0.0532,0,0.0304,27.2423,0.0152,0.7753,0.1596,mid_gni
africa,egypt,385575,21752,0.000237706,62.28639809,8.471773866,53.81462423,1332613,16.7,3340,93,93,93,92,93,92.8,94.7,93.1,96.8,99.4,99,100,0.122989369,810,100,33,65775,90,0,0,0,12.96764949,13.50749626,33.16028013,32.50201071,33.8047016,30344337,14712901,15631436,10.26170911,10.6704286,9.272652108,8.469595427,8.71194509,61.61945867,27866622,61.55966431,28520164,61.67799514,56386786,8.641923736,8.800519113,9.08423726,9.155915971,8.0136607,8.06172392,6.649872633,6.731803042,5.376133392,5.229448608,4.772287344,4.636257629,4.232204251,4.232926518,3.570027382,3.487760276,2.749722186,2.629694972,5.220261196,2688141,5.938324982,2088820,4.51730326,4776961,2.406019891,2.06707465,1.491411176,1.141475359,1.044582287,0.740590159,0.996311628,0.568163092,9.626776746,2.129892119,91508084,56.865,2.013894981,43.135,2.283017397,15.9979,3.4231,13.4988,0.8448,1.32,0.7216,6.4678,0.0088,3.6343,0.2992,4.4615,0.1584,0.2376,0.1936,0.0792,0.2992,34.0109,13.6132,0.66,31.1,4.5,100803000,0.0301,4.1999,0.5269,32.2144,0.1957,0.6322,2.5591,1.6408,0.9935,0.0151,0.2107,0.7828,0.6624,0.1204,1.2645,0.0452,4.0644,0.0602,45.7926,2.0623,1.5806,0.0052,12.4994,0.0467,30.3504,0.5243,3.4934,1.0849,5.1077,2.0919,1.2302,0.5969,1.6818,0.2128,0.6696,0.2024,0,0.0467,37.5032,0.0052,2.4916,0.026,low_gni
north america,el salvador,121945,3824,0.000624165,54.32195105,12.61087844,41.71107262,50429,9.2,3940,91,91,91,95,92,92,75,60,82.4,93.8,86.5,97.5,0.11175312,890,100,54,1763,84,2.8,6.5,0.9,7.810559455,9.249172504,27.02860632,24.91724955,29.41614286,1655930,810145,845785,8.198430064,9.699117396,8.908260035,9.806073923,11.15228254,64.79959547,2156475,66.32568952,1813526,63.07387798,3970001,9.52994179,10.14547998,8.312075445,8.072366803,7.323345253,6.602994323,6.84960241,6.043041262,6.245421121,5.459716246,5.570530569,4.811596663,4.932701635,4.226010967,4.195160029,3.55566716,3.56083734,3.004722039,8.171798211,284722,8.757060931,215930,7.509979163,500652,2.789924899,2.364532225,2.293206928,1.985190111,1.747093969,1.580319702,1.926835135,1.579937125,10.46785296,0.308591942,6126583,33.274,-1.096995002,66.726,1.016962709,23.3032,6.3901,8.1958,1.6034,0.4514,1.4321,6.6547,0.1012,8.1491,0.0545,5.0669,0.5837,0.0311,0.1401,0.3269,0.1167,26.6968,10.2506,0.4514,22.7,9,6481000,0.9019,7.9857,1.3717,22.6043,0.5825,0.2818,1.9917,2.2924,3.4198,0.2443,0.0564,1.4092,2.95,0.0188,1.2026,0.1691,7.1965,0.0376,41.9955,2.1984,1.0898,0.1203,17.3405,0.0468,20.588,1.5904,1.4701,0.7952,6.8961,7.0364,0.3074,1.3699,6.8426,0.0267,0.7551,0.294,0,0.0334,32.6495,0.0267,1.5035,0.3074,mid_gni
europe,estonia,241408,1932,0.001472563,53.48614119,28.79355264,24.69258855,6022,4.4,18480,93,91,93,93,93,92.6,97.2,96.6,97.5,99.6,99,100,0.015801274,6300,100,9,37,140,0,0,0,5.033083181,5.993801256,16.0878224,14.70096242,17.66414137,211072,102604,108468,5.324243813,6.469613458,4.343635426,3.869443171,4.628384648,65.15247326,432067,61.9057917,422733,68.84268408,854799,5.50598648,6.738203992,6.798092346,8.275681325,6.387488543,7.668666717,6.191424152,7.368496446,6.649862511,7.794822877,5.904130385,6.52528495,6.773172548,7.172018401,6.926128552,6.713786671,6.900063016,5.957338056,18.75970433,163271,23.39324588,82856,13.49317454,246127,5.553821036,4.321214745,5.293738543,3.541651067,5.248481897,2.831269798,7.2972044,2.799038934,5.200726659,-0.193943202,1311998,32.462,0.065294697,67.538,-0.318306721,33.219,6.5339,2.8982,1.583,0.2818,0.3805,10.4279,0.0188,14.275,0.1174,0.3664,0.0658,0.1926,0.0892,2.7855,1.2495,16.7833,8.4457,0.2865,23.8,2.9,1331000,4.839,15.3336,1.9572,16.2121,0.7397,0.339,1.5411,4.3612,7.8132,0.0462,0.1387,0.1387,0.4315,0.1541,2.25,1.125,3.7756,0.4469,34.6741,2.4503,1.2329,0.5907,28.6013,0.2233,15.0751,1.7071,1.735,0.5023,8.8097,15.424,0.7024,0.1861,0.8559,0.1674,1.3582,0.7535,0.0047,0.3582,21.401,0.0233,1.4745,0.0465,high_gni
africa,ethiopia,420342,6937,6.98E-05,81.56767847,6.325619289,75.24205918,1501657,3.4,590,86,86,86,78,85,84.2,28,28.2,27.2,57.3,48.6,93.1,1.55595121,64,100,353,184186,90,28.6,34.1,5.8,14.46481709,14.91837009,41.44022759,40.88772506,41.99468505,41187753,20355193,20832560,13.51758474,13.87411702,12.90532323,11.68825654,11.9574958,55.07588181,27570930,55.3820642,27169402,54.76861605,54740332,9.669709658,9.857441029,7.721206572,7.726685327,6.614010418,6.451963591,5.125219203,5.059310355,4.18932402,4.267141588,3.408585786,3.247501679,2.765558837,2.478506776,2.363008889,2.054380325,1.837184272,1.668189585,3.483890604,1857016,3.730210745,1605649,3.236698901,3462665,1.527832546,1.314955481,1.049994055,0.929931901,0.63504031,0.556938733,0.517343834,0.434872786,13.20219794,2.47736063,99390750,80.528,1.927514449,19.472,4.78395465,11.1691,1.4358,11.3929,0.2238,0.0559,0.4102,4.1768,0,5.1091,0.1678,2.6851,2.5545,2.6851,0.8018,0.0186,0.7459,38.8216,17.4156,0.1305,3.6,20.6,114916000,0.4774,2.0182,0.1519,31.5321,0.0434,0.0217,0.2821,0.651,1.1068,0,0.0651,0.4123,4.4705,0.5859,6.1198,0.0651,1.8663,0.0868,47.9601,1.8012,0.2821,0.1676,4.4561,0.0076,29.7303,0.099,0.1066,0.1143,1.6834,2.1938,0.3656,0.8074,10.748,0.7693,2.3461,0.3047,0,0.0838,45.5515,0,0.457,0.0076,low_gni
oceania,fiji,53332,698,0.000782384,52.84830729,8.91258909,43.9357182,8204,13.8,4800,99,99,99,94,99,98,91.1,88.4,93.4,95.7,91.2,99.5,0.08127838,1200,100,30,388,84,0,0,0,9.764935533,9.977139809,28.74465474,28.31833585,29.15677418,256444,124181,132263,9.721151697,10.00734083,8.832248619,8.443210997,8.706051448,65.42434246,285997,65.21898759,297683,65.62285755,583680,8.509342832,8.692383831,7.85851436,8.059705441,7.925102276,8.060587223,6.93540516,7.040806654,5.824846415,5.931084349,5.657008378,5.601077537,5.683005031,5.54640707,4.845639176,4.672781823,3.536912966,3.311972171,5.831002808,28340,6.462676561,23681,5.220368276,52021,2.697722784,2.401532537,1.909157663,1.541134015,1.081825604,0.796248901,0.77397051,0.481452824,9.172293536,0.640395308,892145,46.272,-0.164587974,53.728,1.33889927,20.0472,7.6883,1.5114,0.5773,1.4694,0.084,8.423,0.0262,1.7948,0.0945,8.9635,0.2991,0.1312,0.3569,0.4408,0.1469,29.9554,17.8168,0.1732,30,3.7,896000,0.7322,8.4795,2.2476,18.1338,0.2724,1.1238,0.63,3.5587,1.1749,0.0681,0.1192,3.5076,1.8219,0.1192,4.3419,0.2384,5.9254,0.0511,41.512,5.1081,0.8343,0.2232,21.1078,0.2435,16.8335,0.8386,6.3303,0.3043,10.1515,2.7323,0.8116,1.8734,4.6936,0.1826,2.7797,0.3382,0,0.0609,28.8922,0.0203,1.5014,0.0812,mid_gni
europe,finland,270829,1714,0.000312659,58.26668653,32.40856382,25.85812271,27994,6,46360,98,87.34868421,98,97,98,95.66973684,97.6,88,99.4,100,100,100,0.004608347,21700,58,3,134,147,0,0,0,5.313414099,5.75731837,16.33833062,15.71472128,16.98159384,895669,437424,458245,5.376146303,5.790319002,5.025160874,5.333203551,5.729522535,63.18448568,1709991,61.43247002,1753790,64.99171847,3463782,6.09890861,6.577646169,5.883300208,6.380897433,6.154125832,6.749810542,6.175919279,6.759408041,5.24041142,5.661158809,6.443738911,6.797244336,6.677562197,6.92843477,6.69570551,6.737924408,6.729594499,6.669671422,20.4771837,636115,22.85280871,486447,18.02668769,1122562,7.561001969,7.252128891,4.628262486,4.07288341,3.990956256,3.150637551,6.672587995,3.55103784,5.433956469,0.374669478,5482013,15.779,-0.477237042,84.221,0.535086564,36.725,6.3787,1.7872,0.8524,0.9384,0.2901,16.6649,0.1146,11.8155,0.0788,0.6017,0.0179,0.043,0.0537,0.7844,0.5157,13.2732,8.8607,0.2041,24.9,2.5,5529000,2.4873,19.2239,2.4273,14.504,0.5094,0.944,1.6032,7.9562,7.267,0.4495,0.1199,0.2997,0.1648,0.045,1.6931,0.5993,4.525,0.2397,30.7761,3.2814,0.884,0.4797,31.2205,0.2505,13.0758,1.1632,3.8251,0.5434,11.1059,14.3706,0.501,0.3524,0.3099,0.0425,1.1123,1.0826,0.0042,0.1826,18.7816,0.0594,1.1038,0.433,high_gni
europe,france,10077783,124729,0.001866966,60.26679873,30.64383183,29.6229669,380069,5.3,40580,98,83,97,91,98,93.4,98.7,98.9,98.6,100,100,100,0.016504224,6100,73,8,3378,112,0,0,0,5.791900645,6.421113143,18.48353324,17.5975894,19.4178718,12348550,6034616,6313934,5.902838327,6.494354334,5.902850429,5.623157014,6.20273283,62.39595579,21048762,61.38045335,20636968,63.46693009,41685730,5.496157585,5.858909229,5.931521961,6.195298633,6.081248049,6.323875132,5.898862977,6.136220703,6.613230982,6.859191505,6.592749155,6.77276658,6.62486357,6.759640278,6.346313749,6.308039975,6.172348311,6.050255231,19.12051096,7208910,21.02195724,5565194,17.1151981,12774105,5.961334062,5.809556375,3.835359753,3.714414808,3.671205625,3.126478364,7.554057804,4.464748557,6.502404324,0.468770345,66808385,20.48,-0.652846491,79.52,0.759686266,30.2594,9.1996,1.4334,0.9894,0.8752,0.3869,11.0864,0.0159,7.9533,0.1554,0.685,0.0254,0.0285,0.0412,0.6279,0.853,19.7406,15.4658,0.1776,23.2,2.5,64940000,1.9955,16.9899,3.6818,13.8983,0.6183,0.8994,1.6582,6.1551,5.3963,0.0562,0.2389,0.3513,0.2389,0.0422,1.321,0.4356,5.5509,0.4216,33.0101,6.0568,0.9837,0.1784,31.0849,0.2677,13.4993,1.6015,3.9079,0.6513,12.8703,11.1617,1.2714,0.4104,0.513,0.0401,0.977,0.7361,0.0045,0.3569,18.9195,0.0134,1.4811,0.0535,high_gni
africa,gabon,41798,288,0.000166928,73.10581547,8.836935833,64.26887964,24711,7.8,9210,80,80,80,68,79,77.4,41.9,31.5,43.4,93.2,66.7,97.2,1.173956687,85,100,291,2579,98,1.8,3.9,1.5,13.86464367,13.8502485,37.12693272,37.18887039,37.06638454,640548,317169,323379,12.31702741,12.26972417,11.00719931,10.25349999,10.19953418,57.76813432,487293,57.13634125,509376,58.38575385,996669,9.403184579,9.390875163,8.357643693,8.458768133,6.988954811,7.286642397,5.60138827,6.022589726,4.583870741,4.966576192,3.890908238,4.11298531,3.202166827,3.259852917,2.629388176,2.59252297,2.225335929,2.095406863,5.104932962,48398,5.674788359,39677,4.54786161,88075,1.834884975,1.678526235,1.544450437,1.243764557,1.146729827,0.867460157,1.14872312,0.758110661,10.94641187,2.204565449,1725292,12.844,0.383863745,87.156,2.47570393,19.2656,0.7379,4.1074,0.1956,2.0359,0.6401,13.4068,0.1422,2.2937,0.5957,8.9438,0.0089,0,0.5779,0.7112,0.0178,30.7344,15.3805,0.2045,13.4,10.5,2231000,2.0617,7.1874,0.1513,18.0064,0.0567,1.0781,5.2771,4.4638,0.9835,0.3215,0.4539,2.3454,0.0378,0,8.398,0.1702,2.7237,0.0189,42.8031,2.8939,0.5485,0.6967,24.3394,0.0188,15.1258,0.1695,5.2846,1.6507,14.6928,1.7071,2.4666,3.3264,0.069,0,3.3202,0.1004,0,0.0126,25.6637,0.0126,0.9352,0.4017,mid_gni
africa,gambia,10170,343,0.000172282,94.16772402,4.492750372,89.67497364,39315,2,13410.2027,97,97,97,97,96,96.8,58.9,55,61.5,90.2,84.4,94.2,4.110835623,24,100,706,5540,180,1.8,4.3,0.1,18.01792931,18.77911502,46.18428428,45.31133597,47.07482565,919494,455557,463937,14.83141418,15.42965163,12.46199247,10.53200092,10.7684081,51.50186547,527650,52.48196476,497713,50.50201364,1025363,8.96733914,8.873693471,7.731205608,7.353700695,6.641880339,6.169973344,5.466817453,4.926176853,3.936669541,3.577462302,3.363261928,3.097010647,2.561684834,2.37141196,1.905722439,1.903136482,1.375382562,1.461039785,2.313850252,22186,2.206699271,23881,2.423160712,46067,0.819679469,0.994387797,0.740406985,0.778057717,0.398550617,0.417135534,0.248062201,0.233579664,12.86605901,3.201140871,1990924,40.368,1.684263284,59.632,4.241211325,6.0418,0.2548,4.9416,0.2113,1.3488,0.0373,1.3488,0.0622,2.8468,0.0311,12.4751,0.0311,0,0.0124,0.0995,0.2362,43.9582,25.9883,0.0746,8.7,10.2,2417000,0.3543,3.7394,0.0787,26.8845,0.0984,1.1021,0.1771,0.6298,1.791,0.1771,0.0394,4.8219,0.1574,0,0.3543,0.0787,5.5895,0.0787,46.2704,7.282,0.2952,0.2116,13.0026,0.0078,26.687,0.3213,6.7403,0.0705,2.3513,3.3702,0.2116,8.0649,0.4232,0.0078,0.1332,0.4232,0,0.1019,37.0013,0.0157,0.6427,0.2116,high_gni
europe,georgia,934741,13800,0.003751019,45.673028,20.43160238,25.24142562,27553,6.4,4160,94,94,87,96,91,92.4,86.3,75.9,95.2,100,100,100,0.067702377,1500,100,36,673,183,1.1,2.3,0,6.344861811,7.444641436,17.32746439,15.70460032,19.10640196,637477,302140,335337,5.12453978,6.358459053,4.235198725,5.617210437,6.664147649,68.6468764,1300964,67.62133061,1224555,69.77105061,2525519,7.087620795,8.033012062,7.713343606,8.602044597,7.047365706,7.752583522,6.894472862,7.299474727,6.598583614,6.783949488,6.711460414,6.504307049,7.512115969,7.028689029,6.866887129,6.235827248,5.572270076,4.867015241,14.02565921,320792,16.67406908,195212,11.12254743,516004,4.03129379,3.307233023,3.702512023,2.461859675,4.274880107,2.833004306,4.665383157,2.520450426,5.303301468,-1.296264437,3679000,46.359,-1.668742333,53.641,-0.973230441,25.2749,7.2612,4.5695,1.1781,0.4284,0.2071,7.2326,0.1071,9.0818,0.1,0.6854,0,0.0714,0.0928,2.7774,1.1566,24.718,14.8579,0.1999,23.3,7.9,3715000,1.2367,8.8138,1.6025,25.6053,0.4006,0.2613,0.8361,2.3689,4.0759,0.2264,0.0871,0.1916,0,0.0523,1.4806,0.8361,6.6539,0.2961,41.1949,3.205,0.5748,0.1495,18.4294,0.169,27.2574,1.1636,1.4822,0.3835,6.7867,8.2299,0.5981,0.299,0.013,0.0715,1.2936,0.6436,0.0065,0.2665,31.5673,0.026,0.8906,0.273,mid_gni
europe,germany,7193186,112111,0.001377063,51.80605869,32.2445966,19.56146209,334377,7.4,45790,96,88,94,97,95,94,99.2,99,99.3,100,100,100,0.00852046,11700,100,6,2545,98,0,0,0,4.009967292,4.385403636,12.88582413,12.3308487,13.46015724,10490755,5105505,5385249,4.024067168,4.391219125,4.296814239,4.781739349,5.199239275,65.87352393,26548873,64.1210054,27080834,67.68717075,53629708,5.253607574,5.651064477,6.1386977,6.504748577,6.223011841,6.601137919,5.708517444,6.032876833,5.925698428,6.170229314,8.134705042,8.601388898,8.312717808,8.824490847,7.335513039,7.691865003,6.306797176,6.410129604,21.24065194,9749952,23.5481459,7542730,18.85267201,17292683,5.154569711,5.051204048,5.534062545,5.03705874,5.695872394,4.657137805,7.163641249,4.10727142,4.683534478,0.530366451,81413145,24.699,-0.304227876,75.301,0.805640478,28.1419,11.0084,1.1778,1.0462,0.7019,0.2632,8.9127,0,6.4289,0.0472,0.8909,0.0101,0.0844,0.0607,0.6614,1.6739,21.8581,16.8163,0.216,25.7,2.5,83300000,3.2902,15.3684,4.162,12.4016,0.6187,0.5343,1.5607,5.0759,4.9072,0,0.0703,0.4781,0.0984,0.0984,1.7717,0.4218,6.482,0.7593,34.6316,6.1867,1.0827,0.6525,30.2658,0.3023,12.9162,1.7081,2.0631,0.6237,13.7703,12.0526,0.3646,0.7821,0.2351,0.12,1.3051,0.6669,0.0048,0.7005,19.7342,0.0288,1.7033,0,high_gni
