covid_fatality_rate,continent,country,age dependency ratio (% of working-age population),"age dependency ratio, old","age population, age 0, female, interpolated",diabetes prevalence (% of population ages 20 to 79),female population 45-49,female population 80+,"gni per capita, atlas method (current us$)","immunization, dpt (% of children ages 12-23 months)","immunization, hib3 (% of children ages 12-23 months)","immunization, measles (% of children ages 12-23 months)",improved sanitation facilities (% of population with access),improved water source (% of population with access),"improved water source, urban (% of urban population with access)",lifetime risk of maternal death (%),lifetime risk of maternal death (1 in: rate varies by country),maternal leave benefits (% of wages paid in covered period),"mortality rate, infant (per 1,000 live births)",number of infant deaths,number of maternal deaths,number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, urban (% of urban population)","population ages 00-04, female (% of female population)","population ages 15-19, female (% of female population)","population ages 20-24, female (% of female population)","population ages 25-29, female (% of female population)","population ages 30-34, female (% of female population)","population ages 30-34, male (% of male population)","population ages 35-39, female (% of female population)","population ages 40-44, female (% of female population)","population ages 60-64, female (% of female population)",population growth (annual %),"population, female (% of total)",rural population (% of total population),rural population growth (annual %),urban population growth (annual %),fat_animal products,fat_animal fats,fat_cereals - excluding beer,fat_eggs,"fat_fish, seafood",fat_fruits - excluding wine,fat_meat,fat_miscellaneous,fat_milk - excluding butter,fat_offals,fat_oilcrops,fat_pulses,fat_spices,fat_starchy roots,fat_stimulants,fat_treenuts,fat_vegetable oils,fat_vegetables,obesity,undernourished,kcal_alcoholic beverages,kcal_animal products,kcal_cereals - excluding beer,"kcal_fish, seafood",kcal_fruits - excluding wine,kcal_meat,kcal_offals,kcal_spices,kcal_sugar & sweeteners,kcal_vegetable oils,kcal_vegetables,protein_alcoholic beverages,protein_animal fats,protein_milk - excluding butter,protein_oilcrops,protein_stimulants,protein_sugar & sweeteners,protein_vegetable oils,gni_category
0.001847848,north america,bahamas,41.24625516,11.69592772,2763,13.2,13413,3949,21310,95,95,94,92,98.4,98.4,0.151994427,660,100,9.9,57,5,91,0,0,7.154830306,7.625894922,8.620028072,8.271652311,8.019711,8.296614497,6.810998576,7.323969262,4.518787046,1.287833609,51.04440762,17.126,0.862979822,1.375855376,30.2259,4.56,3.6327,1.2829,1.4991,0.8995,17.4941,0.3556,5.1318,0.258,2.6077,0.0209,0.2719,0.0349,0.9343,0.4532,10.1659,0.3974,32.1,11.22675159,2.9145,14.793,10.7274,1.2491,4.4575,8.1803,0.2694,0.2204,8.6701,3.1594,1.5185,0.0325,0.0895,4.8312,0.8052,0.4311,0,0.0325,high_gni
0.000174365,asia,bangladesh,52.48674876,7.584014398,1519710,8.3,4453733,762973,1190,94,94,88,60.6,86.9,86.5,0.421170638,240,100,30.7,97478,5500,112,1.2,0,9.411303953,9.88315072,9.428808007,9.155431669,8.604984752,8.141716414,7.571985922,6.220170964,1.947526048,1.198570972,49.51604653,65.723,0.047333238,3.443734933,9.8365,1.2369,6.9946,1.2664,2.1646,0.427,1.8407,0.0147,3.2249,0.1178,0.6332,0.5448,1.0602,0.2209,0.0295,0.2651,29.6422,0.3092,3.4,14.7,0,2.3695,37.5265,0.8284,0.655,0.3468,0.0385,0.5009,1.4255,3.429,0.6165,0,0.0083,1.8578,0.5972,0.1161,0.0332,0,low_gni
0.0009148,north america,barbados,50.4435787,21.30871595,1670,13.6,10292,6163,14800,97,97,96,96.2,99.7,99.7,0.047252921,2100,100,12,41,1,84,0.8,0.8,5.790366052,6.129465884,6.189585177,6.195664656,6.712420376,6.780196217,6.561784395,7.166354812,5.801849513,0.294224087,52.08697641,68.525,0.409549862,0.043605871,25.8451,3.9733,2.1187,1.213,1.806,0.4636,13.1382,0.3235,5.6176,0.097,3.2616,0.2318,0.3181,0.1078,0.6038,0.7817,15.6882,0.2534,24.8,3.9,1.1224,12.0877,15.3514,1.416,1.934,5.664,0.1036,0.2936,8.0815,4.4552,1.0534,0.1344,0.112,5.3944,1.2324,0.3585,0,0.028,high_gni
0.000586356,europe,belarus,42.95748424,19.98677271,60817,5.3,328759,262898,6460,99,20,99,94.3,99.7,99.9,0.007220806,13800,100,3.4,428,5,126,0,0,5.595894927,4.169374596,6.065957971,7.605458713,7.257879656,8.547128613,6.658347594,6.607484765,6.875001599,0.315856232,53.52137876,23.333,-1.341790244,0.825850654,23.8181,7.8662,4.8075,1.5772,0.5151,0.2316,11.5636,0.0519,2.0644,0.2316,0.4392,0,0.016,0.1957,0.8385,1.0462,18.2119,0.3394,26.6,2.5,3.2979,12.2644,14.2705,0.4863,1.3982,5.7143,0.3495,0.0152,4.6049,6.1246,1.8389,0.3401,0.1328,6.0202,0.5207,0.3029,0,0.0213,mid_gni
0.00251034,europe,belgium,54.24780332,28.11137989,61365,5.1,398682,399187,44360,99,98,96,99.5,100,100,0.012565669,8000,77,3.3,417,9,105,0,0,5.552786532,5.292058959,5.917989802,6.169362123,6.396954334,6.608640498,6.407842663,6.580697066,5.894279376,0.484152118,50.80089798,2.142,-1.366071305,0.525036715,26.7378,12.6234,1.3531,1.1703,0.6188,0.2373,5.6817,0,6.5057,0.1379,0.5226,0.0353,0.0994,0.077,0.0834,1.2056,19.3504,0.2982,24.5,2.5,2.3089,14.1587,13.0441,0.5971,1.38,3.2776,0.1858,0.0929,6.8073,7.0727,1.7383,0.5466,0.4678,11.9121,0.2216,0.4235,0.0049,0.1133,high_gni
0.001675541,north america,belize,56.78092204,5.898806537,4152,16.5,9012,1207,4420,94,94,96,90.5,99.5,98.9,0.079141229,1300,80,14.2,120,2,98,1,0,10.80568089,10.66082816,9.937119484,8.955339849,7.868111864,7.459353225,6.606061615,6.014440874,2.131166647,2.132591267,50.15015851,56.027,2.402727843,1.7894569,23.7877,9.8102,3.051,0.6759,0.4155,0.3039,10.3435,0.1984,2.5053,0.031,1.4511,0.3783,0.0496,0.031,0.8062,0.3845,19.3538,0.2108,22.4,7.5,1.5199,9.1752,18.9064,0.3707,2.5209,3.9481,0.0371,0.0371,7.6367,5.1158,0.7414,0.201,0.0893,4.5999,1.7864,0.2903,0,0.0372,mid_gni
1.48E-05,africa,benin,81.98219189,5.261408648,176842,0.8,203805,18300,860,79,79,75,19.7,77.9,85.2,1.974065932,51,100,64.2,24069,1600,98,53.3,24.9,15.46933559,10.72011119,9.19910229,7.738564105,6.507165541,6.537916224,5.447332908,4.538952085,1.789936706,2.619974108,50.12836139,56.05,1.845096901,3.616977132,6.1742,0.4816,4.6952,0.2064,0.8599,0.1978,3.2849,0.0258,1.2469,0.0946,7.3007,0.6535,2.597,1.0835,0.1118,1.9176,24.8775,0.3612,8.2,10.1,1.7604,2.4864,18.4755,0.5263,0.7623,1.1978,0.0726,1.0163,1.4338,4.6461,0.853,0.7448,0.0078,1.094,3.2508,0.0233,0,0,low_gni
0.001835016,south america,bolivia,63.69471812,10.58357818,117407,7.5,242978,91502,3080,99,99,99,50.3,90,96.7,0.643990641,160,100,30.6,7504,520,90,17.1,4,10.84858209,9.954314446,9.110906072,8.25774796,7.47702181,7.46323348,6.530942344,5.448235802,2.83080469,1.529800311,49.92202583,31.488,0.251782878,2.122698536,30.4177,4.1685,2.7296,1.5174,0.1831,0.5407,21.1476,0.0436,3.2703,0.1395,1.3604,0.2093,0.1483,0.4796,0.7849,0.7413,12.3485,0.1919,18.7,17.1,0.7859,10.0255,21.644,0.1062,2.4214,6.7545,0.085,0.085,5.6924,2.6551,0.6372,0.1826,0.0219,3.2143,0.5114,0.4894,0,0.0146,low_gni
0.003527699,europe,bosnia and herzegovina,40.73018063,21.73430827,15003,9.9,127476,83706,4680,82,78,83,94.8,99.9,99.7,0.014623595,6800,60,5.1,159,4,365,0,0,4.367477984,5.573299407,5.756792836,7.207185084,7.795544851,8.25853133,6.87781647,7.090307294,7.047882276,-0.187153386,50.22981743,60.233,-0.437535478,0.193285281,24.6478,2.4453,3.6588,0.8354,0.3049,0.5976,9.6957,0.0915,11.2629,0.1037,0.9208,0.2012,2.2196,0.1342,2.4819,0.9574,13.2996,0.7866,19.4,2.5,3.8856,9.0561,21.233,0.1836,1.8969,3.0289,0.1071,1.0402,3.0289,2.9524,2.264,0.5332,0.0633,9.3808,0.6863,0.9449,0.0053,0.0158,mid_gni
0.001080228,africa,botswana,55.27026814,5.586747071,27820,5.6,48043,6825,6510,95,95,97,63.4,96.2,99.2,0.374878929,270,50,34.8,2007,72,84,14.3,0,11.64064957,9.6430805,9.686452146,9.74342712,9.148502397,9.321847225,7.462308184,5.545475745,2.382348888,1.898494963,50.03684002,42.556,1.296349779,2.346929289,16.9634,4.131,7.183,0.2697,0.3622,0.1696,3.4759,0.1927,8.5241,0.2081,1.1715,0.1156,0.5472,0.1927,0.7399,0.1541,22.3815,0.185,16.1,26.4,1.5598,8.1197,22.3932,0.1923,1.0256,1.8803,0.2137,0.3419,5.9402,5.4915,0.641,0.3682,0.1534,9.3971,1.5572,0.3068,0,0.0153,mid_gni
